title,journal,authors,year,url,doi,Print-ISSN,E-ISSN,Category,Subcategory,Subcategory,Subcategory
"3D Printing for Cultural Heritage: Preservation, Accessibility, Research and Education",Lecture Notes in Computer Science,"Neumüller, Reichinger, Rist, Kern",2014,http://dx.doi.org/10.1007/978-3-662-44630-0_9,10.1007/978-3-662-44630-0_9,,,,,,
Design for assistive technology oriented to design methodology: a systematic review on user-centered design and 3D printing approaches,Journal of the Brazilian Society of Mechanical Sciences and Engineering,"Santos, Silveira",2021,http://dx.doi.org/10.1007/s40430-021-03184-1,10.1007/s40430-021-03184-1,16785878,18063691,Physical Sciences,Engineering,Mathematics,
Uncovering Challenges and Opportunities for 3D Printing Assistive Technology with Physical Therapists,Proceedings of the 18th International ACM SIGACCESS Conference on Computers and Accessibility,"McDonald, Comrie, Buehler, Carter, Dubin, Gordes, McCombe-Waller, Hurst",2016,http://dx.doi.org/10.1145/2982142.2982162,10.1145/2982142.2982162,,,,,,
Coming to Grips,Steamboat Connections,,2000,http://dx.doi.org/10.1515/9780773568464-007,10.1515/9780773568464-007,,,,,,
Interdisciplinary Contributions in the Design of Assistive Products With 3D Printing Technology,TEM Journal,"González-Maldonado, Maldonado-Garcés, Calenda",2023,http://dx.doi.org/10.18421/tem124-05,10.18421/tem124-05,22178309,22178333,Social Sciences,"Business, Management and Accounting",Computer Science,
Peer production by persons with disabilities – opening 3D-printing aids to everybody in an inclusive MakerSpace,Journal of Enabling Technologies,"Bosse, Pelka",2020,http://dx.doi.org/10.1108/jet-07-2019-0037,10.1108/jet-07-2019-0037,,23986263,Social Sciences,"Business, Management and Accounting",Computer Science,
Virtual Sculpting and 3D Printing for Young People with Disabilities,IEEE Computer Graphics and Applications,"Mcloughlin, Fryazinov, Moseley, Sanchez, Adzhiev, Comninos, Pasko",2016,http://dx.doi.org/10.1109/mcg.2016.1,10.1109/mcg.2016.1,02721716,15581756,Physical Sciences,Computer Science,,
"PRINT3D, a Service-Learning Project for Improving Visually Impaired Accessibility Through Educational 3D Printing",Journal of Pre-College Engineering Education Research (J-PEER),Lozano,0,http://dx.doi.org/10.7771/2157-9288.1324,10.7771/2157-9288.1324,,,,,,
3D Printing Technology for Buildings’ Accessibility: The Tactile Map for MTE Museum in Pavia,Journal of Civil Engineering and Architecture,"Ferdinando Auricchio, Alessandro Greco, Gianluca Alaimo, Valentina Giacometti, Stefania Marconi, Valeria Mauri",2017,http://dx.doi.org/10.17265/1934-7359/2017.08.002,10.17265/1934-7359/2017.08.002,,,,,,
Creating 3D Printed Assistive Technology Through Design Shortcuts: Leveraging Digital Fabrication Services to Incorporate 3D Printing into the Physical Therapy Classroom,Proceedings of the 24th International ACM SIGACCESS Conference on Computers and Accessibility,"Higgins, Easley, Gordes, Hurst, Hamidi",2022,http://dx.doi.org/10.1145/3517428.3544816,10.1145/3517428.3544816,,,,,,
3D Printing Customized Assistive Technology: A Feasibility Study,Archives of Physical Medicine and Rehabilitation,Schwartz,2017,http://dx.doi.org/10.1016/j.apmr.2017.08.073,10.1016/j.apmr.2017.08.073,00039993,1532821X,Health Sciences,,,
Manufacturing an assistive device with 3D printing technology – a case report,Assistive Technology,"Degerli, Dogu, Oksuz",2022,http://dx.doi.org/10.1080/10400435.2020.1791278,10.1080/10400435.2020.1791278,10400435,19493614,Health Sciences,,,
3D-Printing of Personalized Assistive Technology,Lecture Notes in Computer Science,"Berger, Nussbaum, Emminger, Major",2018,http://dx.doi.org/10.1007/978-3-319-94274-2_19,10.1007/978-3-319-94274-2_19,,,,,,
Furniture Design Education with 3D Printing Technology,Lecture Notes in Networks and Systems,"Eti Proto, Koç Sağlam",2021,http://dx.doi.org/10.1007/978-3-030-77040-2_13,10.1007/978-3-030-77040-2_13,23673370,23673389,Physical Sciences,Computer Science,Engineering,
Improving User Experience of Assistive Technology Through Codesign and 3D Printing: A Case Study from Cancer Treatments,Communications in Computer and Information Science,"Romani, Consonni, Levi",2022,http://dx.doi.org/10.1007/978-3-031-19679-9_57,10.1007/978-3-031-19679-9_57,18650929,18650937,Physical Sciences,Computer Science,Mathematics,
3D printing: can it make surgery more accessible?,Sri Lanka Journal of Surgery,"Liew, Anat, Ng Ying Kin, Khoo",0,http://dx.doi.org/10.4038/sljs.v39i3.8752,10.4038/sljs.v39i3.8752,,,,,,
Topology optimisation for vat photopolymerization 3D printing of ceramics with flushing jet accessibility constraint,Virtual and Physical Prototyping,"Liu, Zhang, Zou, Li, Yu",2024,http://dx.doi.org/10.1080/17452759.2024.2303717,10.1080/17452759.2024.2303717,17452759,17452767,Physical Sciences,Computer Science,Engineering,Mathematics
3D-Printing of Personalized Assistive Technology,Lecture Notes in Computer Science,"Berger, Nussbaum, Emminger, Major",2018,http://dx.doi.org/10.1007/978-3-319-94274-2_19,10.1007/978-3-319-94274-2_19,,,,,,
Occupational Therapy and Assistive Technology: Experience in Using 3D Printing and Open Source Platforms,Indian Journal of Physiotherapy &amp; Occupational Therapy - An International Journal,"Luciana Ramos Baleotti, Amanda Letícia Santos da Silva, Roberta Martinelli Palacio",0,http://dx.doi.org/10.37506/qb3e0551,10.37506/qb3e0551,,,,,,
How 3D printing technologies can contribute into an iterative design process? Case study to hit a drum for Disabled Children,Production,"Thomann, Coton, Pinto, Veytizou, Villeneuve",2017,http://dx.doi.org/10.1590/0103-6513.004717,10.1590/0103-6513.004717,01036513,19805411,Physical Sciences,Engineering,,
"CONTEMPORARY AND FUTURE DEVELOPMENT OF 3D PRINTING TECHNOLOGY IN THE FIELD OF ASSISTIVE TECHNOLOGY, ORTHOTICS AND PROSTHETICS",CANADIAN PROSTHETICS &amp; ORTHOTICS JOURNAL,"Hassan Beygi, WONG",0,http://dx.doi.org/10.33137/cpoj.v6i2.42225,10.33137/cpoj.v6i2.42225,,,,,,
Creating Tactile Graphs for Students With Visual Impairments,Advances in Educational Technologies and Instructional Design,"Cavanaugh, Eastham",2019,http://dx.doi.org/10.4018/978-1-5225-7018-9.ch011,10.4018/978-1-5225-7018-9.ch011,,,,,,
"""OPTIMIZATION OF MOBILE SYSTEMS FOR DISABLED PEOPLES  USING 3D PRINTING """,International Journal of Modern Manufacturing Technologies,"Unknown, Gheorghiță",2023,http://dx.doi.org/10.54684/ijmmt.2023.15.1.166,10.54684/ijmmt.2023.15.1.166,20673604,,Physical Sciences,Engineering,,
3D Printing: The Effect of Adapted Mallets on the Participation of Children with Severe and Multiple Disabilities,Pacific Journal of Health,Sa,0,http://dx.doi.org/10.56031/2576-215x.1005,10.56031/2576-215x.1005,,,,,,
A STEAM Experience Activity Task: Making and Experiencing Goods for the Disabled with Physical Computing Tools and 3D Printing Technology,Institute of Brain-based Education Korea National University of Education,,2022,http://dx.doi.org/10.31216/bdl.20220042,10.31216/bdl.20220042,,,,,,
Ankle-Foot Orthosis Made by 3D Printing Technique and Automated Design Software,Applied Bionics and Biomechanics,"Cha, Lee, Ryu, Joo, Seo, Kim, Kim",2017,http://dx.doi.org/10.1155/2017/9610468,10.1155/2017/9610468,11762322,17542103,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Engineering,
Conversational AI Assistant,International Journal for Research in Applied Science and Engineering Technology,Ansari,0,http://dx.doi.org/10.22214/ijraset.2022.47554,10.22214/ijraset.2022.47554,,,,,,
EU disability law and policy and access to art works through 3D printing,International Perspectives on Disability Exceptions in Copyright Law and the Visual Arts,Waddington,2020,http://dx.doi.org/10.4324/9780429342677-12,10.4324/9780429342677-12,,,,,,
Costa Rican copyright legislation and disability exceptions,International Perspectives on Disability Exceptions in Copyright Law and the Visual Arts,Guadamuz,2020,http://dx.doi.org/10.4324/9780429342677-20,10.4324/9780429342677-20,,,,,,
Design and Construction of a Low-Cost-High-Accessibility 3D Printing Machine for Producing Plastic Components,Journal of Composites Science,"Ajao, Ibitoye, Adesiji, Akinlabi",0,http://dx.doi.org/10.3390/jcs6090265,10.3390/jcs6090265,,2504477X,Physical Sciences,Engineering,,
Design and Implementation of a Low-Cost and Functional Prosthetic Hand Using 3D Printing Technology for a Member of the Association of Physical Disabilities Indonesia,Frontiers in Community Service and Empowerment,"Triwiyanto, Luthfiyah, Forra Wakidi, Utomo",0,http://dx.doi.org/10.35882/ficse.v2i3.51,10.35882/ficse.v2i3.51,,,,,,
Virtual 3D Sculpting,The Journal of Visualization and Computer Animation,"Wong, Lau, Ma",2000,http://dx.doi.org/10.1002/1099-1778(200007)11:3<155::aid-vis225>3.0.co;2-7,10.1002/1099-1778(200007)11:3<155::aid-vis225>3.0.co;2-7,,,,,,
3D Printing of Food for People with Swallowing Difficulties,KnE Engineering,"Kouzani, Adams, J. Whyte, Oliver, Hemsley, Palmer, Balandin",0,http://dx.doi.org/10.18502/keg.v2i2.591,10.18502/keg.v2i2.591,,,,,,
